,1,2,3,4,5,6,7,8,9,10,11,12
$A_{1}$,0.2394,0.2566,0.1753,0.133,0.0532,0.0527,0.0233,0.0465,0.0149,0.0051,0.0,0.0
$A_{2}$,0.2256,0.3497,0.2243,0.1144,0.041,0.0373,0.0077,0.0,0.0,0.0,0.0,0.0
$A_{3}$,0.0001,0.008,0.025,0.0749,0.2926,0.1468,0.1469,0.1404,0.1571,0.0082,0.0,0.0
$A_{4}$,0.1104,0.0695,0.0755,0.1362,0.1718,0.2315,0.0801,0.0312,0.0295,0.0311,0.0332,0.0
$A_{5}$,0.0004,0.014,0.0134,0.0204,0.0775,0.1038,0.2567,0.1494,0.1247,0.2191,0.0206,0.0
$A_{6}$,0.0,0.0006,0.0094,0.0496,0.0245,0.0386,0.1283,0.1144,0.1621,0.1656,0.1306,0.1763
$A_{7}$,0.0,0.0,0.0005,0.0013,0.006,0.0252,0.0328,0.0319,0.0899,0.0816,0.0915,0.6393
$A_{8}$,0.0,0.0017,0.0018,0.0041,0.0602,0.0429,0.0552,0.1438,0.0813,0.1226,0.447,0.0394
$A_{9}$,0.3737,0.0994,0.294,0.0394,0.0299,0.0303,0.0242,0.0175,0.0667,0.0249,0.0,0.0
$A_{10}$,0.0129,0.0422,0.0674,0.0725,0.0841,0.1624,0.0962,0.075,0.1441,0.1394,0.0927,0.0111
$A_{11}$,0.0,0.1075,0.0758,0.2979,0.0671,0.0505,0.0593,0.0887,0.0256,0.0796,0.1058,0.0422
$A_{12}$,0.0375,0.0508,0.0376,0.0563,0.0921,0.078,0.0893,0.1612,0.1041,0.1228,0.0786,0.0917
