,$C_{1}$,$C_{2}$,$C_{3}$,$C_{4}$,$C_{5}$,$C_{6}$,$C_{7}$,$C_{8}$,$C_{9}$,$C_{10}$,$C_{11}$
$A_{1}$,0.0833908119543355,0.06739571234839718,0.16892236168759833,0.1244900788043781,0.11975305856213699,0.07481641457231035,0.07313876761734353,0.08056185260823111,0.056035906348934385,0.052266447732636785,0.09922858776369763
$A_{2}$,0.11876854640156345,0.08729587902862446,0.07522384689954036,0.12895969062394416,0.05705698924160427,0.07948617132333494,0.07956148200527936,0.08107235143240825,0.07132247314629166,0.10721979486601227,0.11403277503139679
$A_{3}$,0.001007894605124614,0.03354148061909667,0.21033628150820427,0.0877149436394702,0.1409725357837974,0.08447830863160295,0.004997594996768352,0.029751722094829337,0.0023811568887559106,0.22442111128301193,0.18039696994933846
$A_{4}$,0.04284690034474001,0.08539321856892458,0.0669575285787729,0.05569507351101519,0.06495004105841742,0.08163226125423328,0.09369466310304551,0.08300733138245285,0.08167780589403226,0.2134341879261463,0.13071098837821962
$A_{5}$,0.03993956480759639,0.3547977025089759,0.0668241408751447,0.010041371751392284,0.06487991411421765,0.018441861045695028,0.020499214628915574,0.04726170621849256,0.043470970438227466,0.2762585752913247,0.057584978320017806
$A_{6}$,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
$A_{7}$,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
$A_{8}$,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
$A_{9}$,0.09330831121170739,0.11624136780250834,0.06719348512722777,0.06206000270555778,0.10404357173277326,0.10337120040379517,0.10052766739103511,0.1040114040782485,0.13434363837311314,0.0542992492384838,0.0606001019355496
$A_{10}$,0.05615236526366909,0.036885467700830385,0.03668595750223155,0.1534261581042303,0.04193151093783917,0.08582970353185285,0.0908334108733473,0.08736909084726673,0.07169126302576055,0.23849610138768385,0.1006989708252882
$A_{11}$,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
$A_{12}$,0.08063654316095228,0.039748554058160065,0.04411473602391262,0.04567042785156811,0.043438322486043256,0.13622002584147963,0.1593989680853358,0.1408681711155535,0.03870588969100004,0.15877094525530472,0.11242741643068986
